family	Lotmaria passim	Bodo saltans	Paratrypanosoma confusum	Trypanosoma brucei	Trypanosoma cruzi	Trypanosoma theileri	Leishmania donovani	Leishmania major	Leishmania braziliensis	Crithidia fasciculata	Crithidia bombi	Leptomonas seymouri	Leptomonas pyrrhocoris
OG0000000	2	15	5	4	2	5	0	1	0	3	2	2	1
OG0000001	2	6	4	1	1	0	1	1	0	7	4	2	7
OG0000002	0	17	2	1	2	2	0	1	2	1	2	2	1
OG0000003	3	5	2	2	1	3	2	2	3	4	3	2	1
OG0000004	8	0	1	1	0	1	0	0	1	5	0	0	9
OG0000005	1	17	1	1	1	0	0	0	0	1	1	1	1
OG0000006	3	2	0	0	0	3	0	0	0	10	0	1	5
OG0000007	2	3	4	1	3	2	1	2	0	2	1	2	1
OG0000008	6	1	0	1	0	0	0	0	1	4	0	1	4
OG0000009	3	5	0	0	0	0	1	0	1	2	1	0	4
OG0000010	0	4	2	4	0	1	1	1	0	2	0	1	1
OG0000011	0	6	1	2	0	1	0	1	0	3	0	0	2
OG0000012	0	6	3	1	2	2	0	0	0	0	0	0	0
OG0000013	1	4	0	0	2	2	0	1	0	2	1	0	1
OG0000014	1	2	3	0	0	0	2	1	0	3	1	0	1
OG0000015	1	6	1	0	0	0	0	0	1	1	0	1	2
OG0000016	1	1	2	0	1	0	0	2	1	1	1	2	1
OG0000017	0	2	1	0	1	0	1	1	3	1	1	1	1
OG0000018	0	3	2	0	2	0	1	1	0	2	1	0	1
OG0000019	2	1	1	0	0	0	0	1	0	3	3	0	2
OG0000020	2	3	0	0	0	0	0	1	1	2	0	1	1
OG0000021	0	1	0	0	0	0	0	0	0	7	0	1	1
OG0000022	1	1	0	0	0	0	1	1	0	1	2	1	2
OG0000023	0	2	2	0	1	1	1	1	0	0	1	1	0
OG0000024	1	4	0	1	0	0	1	1	0	0	1	1	0
OG0000025	0	2	3	1	0	0	0	1	0	1	1	1	0
OG0000026	3	0	0	0	0	0	0	0	0	1	1	0	5
OG0000027	1	0	1	0	0	0	0	0	0	2	0	3	3
OG0000028	1	1	1	0	1	1	1	1	1	0	0	0	1
OG0000029	0	7	1	0	0	0	1	0	0	0	0	0	0
OG0000030	0	2	1	0	0	0	1	0	0	1	1	2	1
OG0000031	2	2	2	0	0	0	0	0	0	2	0	1	0
OG0000032	5	1	1	0	0	0	0	0	0	1	0	0	1
OG0000033	2	1	1	2	1	0	1	0	0	0	0	1	0
OG0000034	1	3	1	0	0	0	0	0	0	1	1	1	0
OG0000035	0	3	1	1	0	3	0	0	0	0	0	0	0
OG0000036	2	2	1	0	0	0	0	0	1	1	0	1	0
OG0000037	0	1	0	1	0	1	0	2	0	1	0	0	2
OG0000038	2	0	2	0	0	1	0	0	0	0	1	1	1
OG0000039	3	0	0	0	0	0	0	0	0	1	1	0	3
OG0000040	0	0	0	0	1	0	2	1	2	0	1	0	1
OG0000041	2	0	0	0	0	0	0	0	0	3	0	1	2
OG0000042	0	1	0	0	0	0	1	1	0	2	0	1	1
OG0000043	0	3	1	1	0	0	1	0	0	1	0	0	0
OG0000044	1	1	0	0	0	1	0	0	0	1	1	1	1
OG0000045	1	1	0	0	1	1	0	0	1	1	0	1	0
OG0000046	0	7	0	0	0	0	0	0	0	0	0	0	0
OG0000047	0	3	1	0	0	0	1	0	1	0	0	0	1
OG0000048	1	1	0	0	0	1	0	0	1	0	1	1	1
OG0000049	0	0	1	0	1	1	0	0	0	1	1	1	1
OG0000050	1	0	1	0	0	0	1	1	0	0	1	1	1
OG0000051	1	0	0	0	0	1	0	0	0	2	0	1	2
OG0000052	1	0	1	1	1	1	0	0	0	1	0	1	0
OG0000053	2	1	0	0	0	0	0	0	0	1	1	0	1
OG0000054	1	1	1	1	0	0	0	0	0	1	0	0	1
OG0000055	0	1	0	0	0	0	1	1	1	0	0	1	1
OG0000056	0	1	1	0	0	0	0	0	1	1	0	1	1
OG0000057	0	6	0	0	0	0	0	0	0	0	0	0	0
OG0000058	0	2	1	0	0	0	0	0	0	2	0	1	0
OG0000059	1	1	1	0	0	0	1	0	0	1	1	0	0
OG0000060	0	6	0	0	0	0	0	0	0	0	0	0	0
OG0000061	0	3	0	0	0	0	1	0	0	0	1	1	0
OG0000062	0	1	1	1	0	1	0	1	0	1	0	0	0
OG0000063	0	2	1	0	0	0	0	0	0	1	1	0	1
OG0000064	0	1	1	1	1	1	0	0	0	1	0	0	0
OG0000065	0	1	1	0	0	1	1	1	0	0	0	0	1
OG0000066	1	2	0	0	0	0	1	0	0	0	1	0	1
OG0000067	0	2	1	0	0	1	0	0	0	1	0	1	0
OG0000068	0	1	0	0	0	0	0	1	1	1	0	1	1
OG0000069	0	1	1	0	0	0	0	1	0	2	0	0	1
OG0000070	1	1	0	0	0	0	0	0	0	1	1	1	1
OG0000071	1	0	0	0	0	0	0	1	1	1	1	0	1
OG0000072	1	0	1	0	0	0	0	0	0	1	1	0	2
OG0000073	0	0	0	0	0	0	1	0	1	1	1	1	1
OG0000074	1	0	0	0	0	0	0	1	0	1	1	1	1
OG0000075	1	0	0	0	0	1	0	0	0	1	1	1	1
OG0000076	1	0	0	0	0	0	1	1	1	1	1	0	0
OG0000077	2	0	0	0	0	0	0	0	1	1	1	1	0
OG0000078	0	0	1	0	0	0	0	1	0	2	1	1	0
OG0000079	1	0	0	0	0	0	1	0	0	1	0	1	2
OG0000080	1	0	0	0	0	0	0	0	0	3	0	1	1
OG0000081	0	2	3	0	0	0	0	0	0	0	0	0	0
OG0000082	1	1	0	1	0	0	0	0	0	1	0	0	1
OG0000083	0	1	0	0	0	0	0	0	0	1	1	1	1
